id,value
id_0,5.174960398984745
id_1,18.30621425352791
id_2,20.49121809418055
id_3,11.523942869805339
id_4,26.61605675230614
id_5,20.531348081761223
id_6,21.906551018797376
id_7,31.73646874706883
id_8,13.391674055111729
id_9,64.45646650291953
id_10,20.264568836159423
id_11,15.358576077361223
id_12,68.58947276926725
id_13,48.42811374745719
id_14,18.70233382419321
id_15,10.188595737466702
id_16,30.74036285982046
id_17,71.13221776355107
id_18,-4.130517391262452
id_19,18.23569401642869
id_20,38.578922275007756
id_21,71.3115197253133
id_22,7.410348162634086
id_23,18.717955330321416
id_24,14.937250260084571
id_25,36.71973669470532
id_26,17.96169700566271
id_27,75.78946287210536
id_28,12.309310248614484
id_29,56.29535173964958
id_30,25.11316086566148
id_31,4.6102486740940245
id_32,2.4837705545150457
id_33,24.75942226132127
id_34,30.48028046559117
id_35,38.46393074642664
id_36,44.20231060933004
id_37,30.086836019866016
id_38,40.47367501574009
id_39,29.22647990231737
id_40,5.606456054343926
id_41,38.66601607878961
id_42,34.6102134318772
id_43,48.38969750738482
id_44,14.757247666944181
id_45,34.46682011087208
id_46,27.483106874184358
id_47,12.00087937815404
id_48,21.378036151603773
id_49,28.544403091663284
id_50,20.165513818411586
id_51,10.796678149746485
id_52,22.171035755750133
id_53,53.446263109352294
id_54,12.219581121610037
id_55,43.300968455171535
id_56,32.18233510328541
id_57,22.567217514570782
id_58,56.73951416554706
id_59,20.745052945295477
id_60,15.028854557473274
id_61,39.8553015903851
id_62,12.975340680728284
id_63,51.74165959283005
id_64,18.783369632539873
id_65,12.348752842777708
id_66,15.63362365354192
id_67,-0.058871470685019744
id_68,41.50801107307597
id_69,31.548747530656023
id_70,18.604251157547075
id_71,37.47681972488069
id_72,56.52039065762304
id_73,6.587877193521942
id_74,12.229339737435044
id_75,5.203696404134638
id_76,47.927375103800614
id_77,13.020705685594661
id_78,17.11030169390361
id_79,20.603234531002037
id_80,21.284481560784606
id_81,38.69293529051183
id_82,30.020716675725833
id_83,88.76740666723546
id_84,35.984700239668264
id_85,26.756913553477208
id_86,23.963516843564403
id_87,32.74724282808306
id_88,22.189043755319933
id_89,20.992158853626517
id_90,29.55599431664542
id_91,40.9921688665178
id_92,8.62511780991154
id_93,32.3214718088779
id_94,46.59804436536758
id_95,22.884070826723512
id_96,31.518129728251644
id_97,11.198233479766103
id_98,28.527436642529608
id_99,0.29115068008963196
id_100,17.966961079539708
id_101,27.124163929470143
id_102,11.398232780652824
id_103,16.42642686567352
id_104,23.42526104692215
id_105,40.61608267056839
id_106,25.864125026560405
id_107,5.422736951672395
id_108,10.794921122256103
id_109,72.86213692992125
id_110,48.022837059481375
id_111,15.746808276902996
id_112,24.670410614177932
id_113,12.827793326536698
id_114,10.158057570240528
id_115,27.269223342020982
id_116,29.208738577932433
id_117,8.835339619930746
id_118,20.051088137129774
id_119,20.212333743764248
id_120,79.90600929870557
id_121,18.06161428826361
id_122,30.54280934130431
id_123,25.98079237772804
id_124,5.212577268164764
id_125,30.355697305856204
id_126,7.768322888914637
id_127,15.328268255393327
id_128,22.666365717697975
id_129,62.742054211090085
id_130,18.950780367987974
id_131,19.07635563083854
id_132,61.3715740916371
id_133,15.884562052629725
id_134,13.409418077705551
id_135,0.8487724836112873
id_136,7.8349967173041435
id_137,57.012829011796796
id_138,25.607996751813825
id_139,4.961704729242074
id_140,36.41487903906276
id_141,28.790006721975946
id_142,49.194120961976346
id_143,40.30686985573448
id_144,13.316180593982688
id_145,27.661011875229157
id_146,17.158027524366748
id_147,49.68726256929682
id_148,23.030272291604767
id_149,39.240936524842766
id_150,13.196753889412527
id_151,5.948893701039421
id_152,25.82160897630422
id_153,8.25863421429163
id_154,19.14632051722557
id_155,43.18248652651674
id_156,6.71784357809304
id_157,33.86961524681065
id_158,15.369937846981811
id_159,16.939044973551926
id_160,37.885336794634846
id_161,19.20248454105443
id_162,9.059504715654722
id_163,10.283399610648495
id_164,48.672447125698305
id_165,30.587716213230827
id_166,2.477409897532162
id_167,12.811603937805945
id_168,70.32478980976461
id_169,14.840967694067054
id_170,68.86558756678859
id_171,42.74199244486632
id_172,24.000261542920153
id_173,23.420724860321446
id_174,61.67212443568237
id_175,25.494202845059192
id_176,19.00480978686908
id_177,34.886682881896824
id_178,9.402313398379755
id_179,29.520011314408027
id_180,14.57396588570048
id_181,9.125563143203594
id_182,52.812583998131885
id_183,45.039537994389605
id_184,17.452434679183302
id_185,38.493935279714314
id_186,27.03891909264382
id_187,65.5817096742458
id_188,7.037306380769584
id_189,52.71447713411571
id_190,38.206459337049765
id_191,21.169801059557827
id_192,30.247556879488407
